"","model","n","prop_extreme","magnitude_level","treatment","mean_est","bias","emp_se","rmse","coverage","n_fail"
"163","logit",2000,0.05,2,"raw",-0.0045,-0.0045,0.1363,0.1363,0.946,0
"164","logit",2000,0.05,2,"topcode",0.0039,0.0039,0.133,0.1329,0.962,0
"165","logit",2000,0.05,3,"mean_adj",0.0043,0.0043,0.1372,0.1371,0.944,0
"166","logit",2000,0.05,3,"median_adj",0.0023,0.0023,0.1369,0.1368,0.954,0
"167","logit",2000,0.05,3,"raw",0.0095,0.0095,0.1416,0.1418,0.944,0
"168","logit",2000,0.05,3,"topcode",-0.0055,-0.0055,0.1374,0.1374,0.94,0
"169","logit",2000,0.1,1,"mean_adj",0.0113,0.0113,0.1396,0.14,0.932,0
"170","logit",2000,0.1,1,"median_adj",-0.0056,-0.0056,0.1429,0.1428,0.936,0
"171","logit",2000,0.1,1,"raw",-0.0072,-0.0072,0.1403,0.1404,0.942,0
"172","logit",2000,0.1,1,"topcode",0.0083,0.0083,0.1354,0.1355,0.95,0
"173","logit",2000,0.1,2,"mean_adj",0.0026,0.0026,0.1372,0.1371,0.938,0
"174","logit",2000,0.1,2,"median_adj",0.0023,0.0023,0.1367,0.1366,0.95,0
"175","logit",2000,0.1,2,"raw",0.0098,0.0098,0.1379,0.1381,0.95,0
"176","logit",2000,0.1,2,"topcode",-0.0053,-0.0053,0.1348,0.1347,0.958,0
"177","logit",2000,0.1,3,"mean_adj",0.0061,0.0061,0.1399,0.1399,0.942,0
"178","logit",2000,0.1,3,"median_adj",0.0008,0.0008,0.1382,0.1381,0.94,0
"179","logit",2000,0.1,3,"raw",-0.0029,-0.0029,0.1305,0.1304,0.97,0
"180","logit",2000,0.1,3,"topcode",0.0033,0.0033,0.1426,0.1425,0.94,0
"181","logit",5000,0.01,1,"mean_adj",-0.0012,-0.0012,0.0832,0.0831,0.942,0
"182","logit",5000,0.01,1,"median_adj",0.0027,0.0027,0.0874,0.0874,0.942,0
"183","logit",5000,0.01,1,"raw",-0.0066,-0.0066,0.0901,0.0902,0.944,0
"184","logit",5000,0.01,1,"topcode",-0.0045,-0.0045,0.083,0.0831,0.964,0
"185","logit",5000,0.01,2,"mean_adj",-0.0016,-0.0016,0.0849,0.0848,0.948,0
"186","logit",5000,0.01,2,"median_adj",0.004,0.004,0.0865,0.0865,0.95,0
"187","logit",5000,0.01,2,"raw",-0.0076,-0.0076,0.0878,0.088,0.942,0
"188","logit",5000,0.01,2,"topcode",-0.0079,-0.0079,0.0859,0.0862,0.946,0
"189","logit",5000,0.01,3,"mean_adj",-0.0005,-0.0005,0.0828,0.0828,0.958,0
"190","logit",5000,0.01,3,"median_adj",0.0009,0.0009,0.0857,0.0856,0.94,0
"191","logit",5000,0.01,3,"raw",-0.0035,-0.0035,0.0848,0.0848,0.958,0
"192","logit",5000,0.01,3,"topcode",0.0059,0.0059,0.0867,0.0869,0.958,0
"193","logit",5000,0.05,1,"mean_adj",-0.0042,-0.0042,0.0872,0.0872,0.946,0
"194","logit",5000,0.05,1,"median_adj",0.001,0.001,0.0869,0.0868,0.95,0
"195","logit",5000,0.05,1,"raw",-0.0062,-0.0062,0.0849,0.085,0.956,0
"196","logit",5000,0.05,1,"topcode",0.0012,0.0012,0.0843,0.0842,0.956,0
"197","logit",5000,0.05,2,"mean_adj",-0.0042,-0.0042,0.0886,0.0886,0.944,0
"198","logit",5000,0.05,2,"median_adj",-0.0006,-0.0006,0.0812,0.0812,0.954,0
"199","logit",5000,0.05,2,"raw",-0.0029,-0.0029,0.09,0.0899,0.94,0
"200","logit",5000,0.05,2,"topcode",-0.0052,-0.0052,0.0867,0.0868,0.954,0
"201","logit",5000,0.05,3,"mean_adj",0.0052,0.0052,0.086,0.0861,0.944,0
"202","logit",5000,0.05,3,"median_adj",0.0035,0.0035,0.0848,0.0848,0.948,0
"203","logit",5000,0.05,3,"raw",0.0018,0.0018,0.0853,0.0852,0.962,0
"204","logit",5000,0.05,3,"topcode",-0.0011,-0.0011,0.0837,0.0837,0.96,0
"205","logit",5000,0.1,1,"mean_adj",0.0035,0.0035,0.0851,0.0851,0.94,0
"206","logit",5000,0.1,1,"median_adj",-0.0009,-0.0009,0.0869,0.0868,0.936,0
"207","logit",5000,0.1,1,"raw",0.0079,0.0079,0.0858,0.0861,0.954,0
"208","logit",5000,0.1,1,"topcode",0.0005,0.0005,0.0843,0.0842,0.95,0
"209","logit",5000,0.1,2,"mean_adj",-0.0011,-0.0011,0.0857,0.0856,0.944,0
"210","logit",5000,0.1,2,"median_adj",-0.0025,-0.0025,0.0888,0.0887,0.95,0
"211","logit",5000,0.1,2,"raw",-0.0042,-0.0042,0.0909,0.0909,0.934,0
"212","logit",5000,0.1,2,"topcode",-0.0007,-0.0007,0.0834,0.0834,0.952,0
"213","logit",5000,0.1,3,"mean_adj",0.0002,0.0002,0.0844,0.0843,0.956,0
"214","logit",5000,0.1,3,"median_adj",0.0059,0.0059,0.083,0.0831,0.968,0
"215","logit",5000,0.1,3,"raw",-0.0007,-0.0007,0.0859,0.0858,0.946,0
"216","logit",5000,0.1,3,"topcode",0.0018,0.0018,0.0869,0.0868,0.96,0
"217","logols",1000,0.01,1,"mean_adj",0.0021,0.0021,0.2925,0.2923,0.97,0
"218","logols",1000,0.01,1,"median_adj",0.0262,0.0262,0.3012,0.3021,0.938,0
"219","logols",1000,0.01,1,"raw",0.022,0.022,0.3225,0.323,0.926,0
"220","logols",1000,0.01,1,"topcode",-0.0077,-0.0077,0.3139,0.3137,0.958,0
"221","logols",1000,0.01,2,"mean_adj",0.0102,0.0102,0.3022,0.3021,0.954,0
"222","logols",1000,0.01,2,"median_adj",-0.0062,-0.0062,0.2974,0.2972,0.944,0
"223","logols",1000,0.01,2,"raw",0.0083,0.0083,0.2895,0.2893,0.966,0
"224","logols",1000,0.01,2,"topcode",0.0035,0.0035,0.2956,0.2953,0.956,0
"225","logols",1000,0.01,3,"mean_adj",0.0231,0.0231,0.3141,0.3147,0.934,0
"226","logols",1000,0.01,3,"median_adj",0.0298,0.0298,0.3025,0.3036,0.954,0
"227","logols",1000,0.01,3,"raw",0.003,0.003,0.3127,0.3124,0.956,0
"228","logols",1000,0.01,3,"topcode",0.0036,0.0036,0.3073,0.307,0.958,0
"229","logols",1000,0.05,1,"mean_adj",0.025,0.025,0.3283,0.3289,0.948,0
"230","logols",1000,0.05,1,"median_adj",-0.0142,-0.0142,0.3291,0.3291,0.946,0
"231","logols",1000,0.05,1,"raw",0.042,0.042,0.3474,0.3496,0.948,0
"232","logols",1000,0.05,1,"topcode",0.0121,0.0121,0.3226,0.3225,0.956,0
"233","logols",1000,0.05,2,"mean_adj",0.0249,0.0249,0.3233,0.3239,0.956,0
"234","logols",1000,0.05,2,"median_adj",0.0038,0.0038,0.3437,0.3434,0.94,0
"235","logols",1000,0.05,2,"raw",-0.0145,-0.0145,0.3442,0.3441,0.948,0
"236","logols",1000,0.05,2,"topcode",0.0104,0.0104,0.3356,0.3354,0.948,0
"237","logols",1000,0.05,3,"mean_adj",-0.0041,-0.0041,0.3279,0.3276,0.952,0
"238","logols",1000,0.05,3,"median_adj",0.0179,0.0179,0.3263,0.3265,0.948,0
"239","logols",1000,0.05,3,"raw",0.0131,0.0131,0.3301,0.3301,0.952,0
"240","logols",1000,0.05,3,"topcode",0.0202,0.0202,0.3173,0.3176,0.962,0
"241","logols",1000,0.1,1,"mean_adj",0.0013,0.0013,0.352,0.3516,0.948,0
"242","logols",1000,0.1,1,"median_adj",0.0243,0.0243,0.3614,0.3618,0.938,0
"243","logols",1000,0.1,1,"raw",0.0327,0.0327,0.371,0.3721,0.942,0
"244","logols",1000,0.1,1,"topcode",0.0014,0.0014,0.3634,0.363,0.95,0
"245","logols",1000,0.1,2,"mean_adj",0.0395,0.0395,0.3594,0.3612,0.954,0
"246","logols",1000,0.1,2,"median_adj",-0.0015,-0.0015,0.3462,0.3459,0.944,0
"247","logols",1000,0.1,2,"raw",0.004,0.004,0.3754,0.375,0.944,0
"248","logols",1000,0.1,2,"topcode",-0.0018,-0.0018,0.3642,0.3638,0.954,0
"249","logols",1000,0.1,3,"mean_adj",0.0063,0.0063,0.3551,0.3548,0.966,0
"250","logols",1000,0.1,3,"median_adj",-0.0443,-0.0443,0.3438,0.3463,0.964,0
"251","logols",1000,0.1,3,"raw",0.0239,0.0239,0.3842,0.3846,0.942,0
"252","logols",1000,0.1,3,"topcode",-0.0047,-0.0047,0.3855,0.3852,0.938,0
"253","logols",2000,0.01,1,"mean_adj",0.0008,0.0008,0.2094,0.2092,0.956,0
"254","logols",2000,0.01,1,"median_adj",0.0047,0.0047,0.2162,0.216,0.942,0
"255","logols",2000,0.01,1,"raw",0.0211,0.0211,0.2148,0.2156,0.956,0
"256","logols",2000,0.01,1,"topcode",0.0051,0.0051,0.2202,0.22,0.948,0
"257","logols",2000,0.01,2,"mean_adj",0.0248,0.0248,0.2082,0.2095,0.958,0
"258","logols",2000,0.01,2,"median_adj",-0.0056,-0.0056,0.2205,0.2203,0.928,0
"259","logols",2000,0.01,2,"raw",0.0215,0.0215,0.2103,0.2112,0.966,0
